authors,first_name,last_name,title,description,copies,created,publisher,publish_date,pages,price,isbn10,isbn
"Mike Benson,Charlie Huston",Mike,Benson,Moon Knight - Volume 3: God & Country (Moon Knight (Numbered)) (v. 3),"Moon Knight is back in the game - leaving a trail of broken bodies in his wake - and everyone wants to know the same thing: Who the hell gave this psycho a Registration Card? But no one wants to know more than the architect of the Initiative, Tony Stark. As the body count grows, the pressure to bring in the poster child for super-powered irresponsibility might grow too much for Stark to ignore! Award-winning TV writer Mike Benson (Entourage) takes over the reins, with co-plotter Charlie Huston!  Collects Moon Knight #14-20.",1,4/1/18,Marvel,11/19/08,184,,785125213,9780785125211
Mike Benson,Mike,Benson,Moon Knight Vol. 5: Down South,"Out of the frying pan... into the inferno. Marc Spector may be dead, but Moon Knight is very much alive. Hiding out in the dark underbelly of Mexico City, trouble quickly finds the fugitive vigilante when a mysterious millionaire begs him to ensure the safe return of his kidnapped daughter. Problem is, the girl is in the clutches of corrupt cops that are currently in the crosshairs of a vigilante whose methods make even Khonshu blink. The Punisher has come down to Mexico, and God help anyone who gets between him and his prey. Collects Moon Knight #26-30, plus extras.",1,4/1/18,Marvel,10/28/09,120,,078513171X,9780785131717
Mike Benson,Mike,Benson,Moon Knight Vol. 4: The Death of Marc Spector,"Moon Knight has been an eyesore to the Initiative - and he's about to pay the price! With Tony Stark forced onto the sidelines, Norman Osborn has been tapped to bring in the fugitive super hero - by all means necessary! That's right, True Believer, the Thunderbolts have just been sicced on Moon Knight! To survive, he's going to have to go a bit crazy. Then, it's Christmas Eve. A time for family. A time to dream. But for Moon Knight, it's just a night like any other - and tonight he's got his sights on a pair of hitmen who picked the wrong Santa to kill.  Collects Moon Knight #21-25 and Silent Night One-Shot.",1,4/1/18,Marvel,6/3/09,152,,785132988,9780785132981
Frank Miller,Frank,Miller,Daredevil: The Man Without Fear,"A fire burns deep within Matt Murdock. He was raised by a single father, an over-the-hill prizefighter with one last chance to make it good - a chance that cost him his life. Taunted and tormented by children while growing up, Matt's life was irrevocably altered after he was blinded by radioactive materials while saving the life of an old man. The payoff? An unbreakable will and a keen intelligence, helping focus the super-senses he was blessed with during the accident. His story is one of love, pain, disappointment, and strength. Witness the tour-de-force origin of the Man Without Fear by industry legends Frank Miller and John Romita Jr.  Collects Daredevil: The Man Without Fear #1-5",1,3/31/18,Marvel,6/16/10,224,,785134794,9780785134794
Stan Lee,Stan,Lee,"Avengers, Vol. 1 (Marvel Masterworks), The","Pick up the adventures of Earth's Mightiest Heroes from day one with the Marvel Masterworks! Comicdom's greatest assemblage of super heroes burst onto the scene in 1963 as Marvel Comics revolutionized the comic-adventure art form. Gathering together to face the evil Loki, Iron Man, the Incredible Hulk, Ant-Man, the Wasp, and the Mighty Thor formed the improbable core of the ever-changing super-team. But it was three issues later when, from the ice of the northern Atlantic, Captain America returned from the frozen depths that the Avengers truly took form. Illustrated by Jack Kirby and Don Heck, and written by Stan ""The Man"" Lee, you'll find the first appearances of Kang the Conqueror, Wonder Man, the Space Phantom and Baron Zemo, the debut of the Masters of Evil and the Hulk's departure from the team, and subsequent battle with the Sub-Mariner vs. the Avengers. They're Marvel Masterworks one and all!   Collecting The Avengers #1-10.",1,3/31/18,Marvel,5/13/09,248,,785137068,9780785137061
"Brian Michael Bendis,Jonathan Hickman",Brian,Bendis,"Secret Warriors, Vol. 1: Nick Fury, Agent of Nothing","Exploding out of the pages of Secret Invasion and Mighty Avengers! Nick Fury and his new band of young heroes uncover the darkest secret in the history of the Marvel Universe! A secret that sends the Secret Warriors tumbling into an underworld of rogue S.H.I.E.L.D. agents, super-powered spies, and global criminal organizations.  Collects Secret Warriors #1-6, and Dark Reign New Nation story.",1,4/1/18,Marvel,12/30/09,184,,785138641,9780785138648
Jonathan Hickman,Jonathan,Hickman,"Secret Warriors Vol. 2: God of Fear, God of War","Baron Strucker and Norman Osborn team up to drive out the Marvel Universe's ultimate covert superteam. It's wall-to-wall insanity as the Dark Avengers and the Thunderbolts go after the Secret Warriors. It's time for Ares to get his son back! GOD OF FEAR versus GOD OF WAR! Collects Secret Warriors #7-10, and Dark Reign: The List - Secret Warriors.",1,4/1/18,Marvel,7/14/10,144,,078513865X,9780785138655
"Fabian Nicieza,Dan Slott",Fabian,Nicieza,New Warriors Classic - Volume 2,"Revisit the beginning of an era as the finest of the nineties get a crash course in Mutant Mayhem! The insidious Gideon is playing with people's lives, and his latest pawn is one multi-powered, tormented boy with the potential to resurrect another: Proteus! When the X-Men and X-Force investigate, the New Warriors are also drawn in - proving it's not only mutants who have a stake in Gideon's game! Plus: Night Thrasher's costumed career is driven by vengeance, but an encounter with the Punisher and Bengal (later of Initiative) leaves him wondering who's earned the most vengeance, and who'll have to die before they can collect. With origins of the founding Warriors! Also featuring Emma Frost and the Hellions! Collects New Warriors (1990) #7-10, Annual #1; New Mutants Annual #7, Uncanny X-Men Annual #15, and X-Factor Annual #6.",1,4/1/18,Marvel,5/12/10,256,,785142630,9780785142638
"Christopher Yost,Craig Kyle",Christopher,Yost,X-Force: Sex and Violence,"Just when you thought it was over, we pull you back in- it's the X-Force story everyone's been talking about, finally delivered!  Wolverine and Domino have always had a special relationship, but everything goes upside down when the Assassins Guild puts out a hit on our gun wielding bombshell.  Why do they want her dead?  And more importantly, how many people have to die before Wolverine and Domino can spend some quality time together?  Get ready for the sexiest blood-soaked ride Craig Kyle and Chris Yost have ever delivered as they join forces with international superstar Gabriele Dell'Otto to offer up their final X-Force story!  Plus, Grant Morrison and Leinil Yu bring you the story of how Wolverine and Domino first got together in the pages of New X-Men.",1,3/31/18,Marvel,7/13/11,120,,078514434X,9780785144342
Jonathan Hickman,Jonathan,Hickman,"Secret Warriors, Vol. 3: Wake the Beast","One month later. Nick Fury's got an army. Hydra goes to war. Leviathan reveals itself. Things heat up and Young Gun Stefano Caselli returns to knock it out of the park! Also, the long-awaited origin of the mysterious HIVE, and we finally find out who the father of STONEWALL is. Collecting:  Secret Warriors #11-16",1,4/1/18,Marvel,1/12/11,160,,785147586,9780785147589
